Année,Province/Territoires,CategoryID,Catégories,Rollup,CO2,CH4,CH4eq,N2O,N2Oeq,HFCs,PFCs,SF6,NF3,CO2E,Unit
1990,Colombie-Britannique,143,Produits chimiques,FALSE,450.4112833,0.008753572,0.218839309,0.00773418,2.304785738,0,0,0,0,452.9349083,kt
1990,Colombie-Britannique,144,Pâtes et papiers,FALSE,3832.800792,0.472910126,11.82275315,0.367180667,109.4198388,0,0,0,0,3954.043384,kt
1990,Colombie-Britannique,145,Ciment,FALSE,351.2434946,0.017439442,0.435986051,0.006170159,1.838707307,0,0,0,0,353.518188,kt
1990,Colombie-Britannique,146,Autres industries manufacturières,FALSE,1421.750117,0.033439577,0.835989427,0.029842129,8.892954559,0,0,0,0,1431.479061,kt
1990,Colombie-Britannique,150,Construction,FALSE,305.1579031,0.00526381,0.13159525,0.007352118,2.190931164,0,0,0,0,307.4804295,kt
1990,Colombie-Britannique,160,Commercial et institutionnel,FALSE,2937.627563,0.05286755,1.321688741,0.056837522,16.93758165,0,0,0,0,2955.886834,kt
1990,Colombie-Britannique,170,Résidentiel,FALSE,4089.043049,17.03130112,425.7825279,0.243710307,72.62567142,0,0,0,0,4587.451248,kt
1990,Colombie-Britannique,180,Agriculture et foresterie,FALSE,321.3926882,0.004681084,0.117027097,0.006297076,1.876528636,0,0,0,0,323.3862439,kt
1990,Colombie-Britannique,256,Transport par pipeline,FALSE,835.8206788,0.805042198,20.12605495,0.024263351,7.230478449,0,0,0,0,863.1772122,kt
1990,Yukon,110,Production de chaleur et d'électricité du secteur public ,FALSE,89.946143,0.004470508,0.1117627,0.013355825,3.98003585,0,0,0,0,94.03794155,kt
1990,Yukon,120,Industries de raffinage du pétrole ,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Yukon,130,Extraction de pétrole et de gaz,FALSE,0.303,0.0000048,0.00012,0.0000216,0.0064368,0,0,0,0,0.3095568,kt
1990,Yukon,131,Exploitation minière,FALSE,8.3585387,0.000160023,0.004000569,0.000530365,0.15804877,0,0,0,0,8.520588039,kt
1990,Yukon,141,Sidérurgie,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Yukon,142,Métaux non ferreux,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Yukon,143,Produits chimiques,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Yukon,144,Pâtes et papiers,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Yukon,145,Ciment,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Yukon,146,Autres industries manufacturières,FALSE,5.9196988,0.000077076,0.0019269,0.000348626,0.103890548,0,0,0,0,6.025516248,kt
1990,Yukon,150,Construction,FALSE,3.5020506,0.00004492,0.001123,0.00014882,0.04434836,0,0,0,0,3.54752196,kt
1990,Yukon,160,Commercial et institutionnel,FALSE,76.568841,0.000783084,0.0195771,0.001362354,0.405981492,0,0,0,0,76.99439959,kt
1990,Yukon,170,Résidentiel,FALSE,29.212309,0.06300745,1.57518625,0.00183863,0.54791174,0,0,0,0,31.33540699,kt
1990,Yukon,180,Agriculture et foresterie,FALSE,1.0802128,0.000012184,0.0003046,0.000030404,0.009060392,0,0,0,0,1.089577792,kt
1990,Yukon,256,Transport par pipeline,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1991,Canada,110,Production de chaleur et d'électricité du secteur public ,FALSE,95113.06266,1.666133752,41.65334381,1.720246828,512.6335547,0,0,0,0,95667.34956,kt
1991,Canada,120,Industries de raffinage du pétrole ,FALSE,16259.94044,0.414386724,10.3596681,0.166602363,49.64750405,0,0,0,0,16319.94761,kt
1991,Canada,130,Extraction de pétrole et de gaz,FALSE,30112.42863,56.14845192,1403.711298,0.628128861,187.1824005,0,0,0,0,31703.32233,kt
1991,Canada,131,Exploitation minière,FALSE,4273.414996,0.094011923,2.350298075,0.092572808,27.58669671,0,0,0,0,4303.35199,kt
1991,Canada,141,Sidérurgie,FALSE,4918.065808,0.148744969,3.718624218,0.126500829,37.69724693,0,0,0,0,4959.48168,kt
1991,Canada,142,Métaux non ferreux,FALSE,2687.244921,0.057994172,1.449854297,0.038070314,11.34495362,0,0,0,0,2700.039729,kt
1991,Canada,143,Produits chimiques,FALSE,8603.03925,0.172376912,4.309422797,0.148687585,44.30890021,0,0,0,0,8651.657573,kt
1991,Canada,144,Pâtes et papiers,FALSE,13780.87558,1.242782925,31.06957314,0.954381482,284.4056816,0,0,0,0,14096.35084,kt
1991,Canada,145,Ciment,FALSE,3422.237745,0.078389215,1.959730377,0.036995583,11.02468379,0,0,0,0,3435.222159,kt
1991,Canada,146,Autres industries manufacturières,FALSE,20027.64052,0.471824403,11.79561007,0.388010984,115.6272732,0,0,0,0,20155.0634,kt
